ID_PLANO;SG_PLANO;NM_PLANO;NU_CNPB;ID_SIT_PRINCIPAL_PLANO;ID_SIT_PLANO;CS_FUNDAMENTACAO_LEGAL;CS_MODALIDADE_PLANO;DT_APROV_PLANO;DT_AUTORIZ_PLANO;DT_INIC_FUNC_PLANO;DT_FECHA_MASSA_PLANO;DT_ENCER_EXTINCAO_PLANO;IN_PLANO_PREVIDENCIAL;CS_PLANO_PATROC_INSTIT;IN_RISCO_MUTALISTA;IN_CONTRIB_NORMAL_PARTIC;IN_CONTRIB_NORMAL_ASSIST;IN_CONTRIB_NORMAL_PATROC;IN_DESP_ADM_PARTIC;IN_DESP_ADM_ASSIST;IN_DESP_ADM_PATROC;IN_CONTRIB_SERV_PASSADO_PARTIC;IN_CONTRIB_SERV_PASSADO_ASSIST;IN_CONTRIB_SERV_PASSADO_PATROC;IN_INSTITUTO_AUTOPATROCINIO;QT_PATROCINADORES;DT_EXTRACAO;NU_CNPJ
327;ERNST;PLANO DE BENEFÍCIOS ERNST & YOUNG;2003000119;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;2003-01-01 00:00:00.0000000;2003-10-31 00:00:00.0000000;2009-07-31 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;5;06/05/26;483071840001-63
298;PLANO SUPLEMENTAR - CV;PLANO DE APOSENTADORIA SUPLEMENTAR E-INVEST;1991002238;ATIVO;EM EXTINÇÃO;LC 109;Contribuição Variável;;1991-11-27 00:00:00.0000000;1992-03-01 00:00:00.0000000;2014-11-12 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;4;06/05/26;483068000001-61
297;PLANO BÁSICO - BD;PLANO DE APOSENTADORIA E-INVEST;1991002165;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1991-11-27 00:00:00.0000000;1992-03-01 00:00:00.0000000;2014-11-12 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Não;Sim;4;06/05/26;483067980001-20
301;FAELCEBD;PLANO DE BENEFÍCIO DEFINIDO;1980002411;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1980-12-19 00:00:00.0000000;1981-04-07 00:00:00.0000000;2007-01-15 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;Sim;2;06/05/26;483066290001-90
281;PSAP/CTEEP;PLANO DE SUPLEMENTAÇÃO DE APOSENTADORIAS E PENSÃO-CTEEP;1979003165;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1979-09-27 00:00:00.0000000;1977-11-01 00:00:00.0000000;2024-03-01 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;Sim;1;06/05/26;483065890001-87
278;PSAP/AUREN;PLANO DE SUPLEMENTAÇÃO DE APOSENTADORIAS E PENSÃO PSAP/AUREN;1979003092;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1979-09-27 00:00:00.0000000;1977-11-01 00:00:00.0000000;2019-06-01 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;Sim;1;06/05/26;483065880001-32
277;PSAP/PIRATININGA;PLANO DE SUPLEMENTAÇÃO DE APOSENTADORIAS E PENSÃO PSAP/PIRATININGA;1982002311;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1982-11-11 00:00:00.0000000;1982-11-11 00:00:00.0000000;2020-02-20 00:00:00.0000000;;Sim;Patrocinado;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Não;Não;Sim;5;06/05/26;483066630001-65
275;PSAP/ELETROPAULO;PLANO DE SUPLEMENTAÇÃO DE APOSENTADORIAS E PENSÃO PSAP/ELETROPAULO;1982002247;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1982-11-11 00:00:00.0000000;1982-11-11 00:00:00.0000000;2019-06-01 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;Sim;2;06/05/26;483066620001-10
299;BD EQUATORIAL ALAGOAS;PLANO DE BENEFÍCIO DEFINIDO EQUATORIAL ALAGOAS;1996002211;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1996-08-02 00:00:00.0000000;1996-08-02 00:00:00.0000000;2008-09-01 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;2;06/05/26;483069160001-09
272;PPCPFL;PLANO DE PREVIDÊNCIA COMPLEMENTAR CPFL - PPCPFL;1979003238;ATIVO;EM EXTINÇÃO;LC 109;Contribuição Variável;;1979-09-27 00:00:00.0000000;1977-11-01 00:00:00.0000000;2020-02-20 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;6;06/05/26;483065900001-01
308;BD;BENEFÍCIO DEFINIDO;1986000192;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1986-02-07 00:00:00.0000000;1986-02-13 00:00:00.0000000;2005-12-21 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;1;06/05/26;483067030001-79
236;FUTURO INTELIGENTE;PLANO DE PREVIDÊNCIA UNIBANCO - FUTURO INTELIGENTE;1997004038;ATIVO;EM EXTINÇÃO;LC 109;Contribuição Variável;;1997-11-18 00:00:00.0000000;1997-11-18 00:00:00.0000000;2009-02-28 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;32;06/05/26;483069670001-22
228;PB USIBA;PLANO DE BENEFÍCIOS N.º 003 - USIBA;1985001292;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1985-10-31 00:00:00.0000000;1986-01-01 00:00:00.0000000;1992-07-13 00:00:00.0000000;;Sim;Patrocinado;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;1;06/05/26;483066980001-02
233;PBD;PLANO DE BENEFÍCIO DEFINIDO - PBD;1988001129;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1979-05-30 00:00:00.0000000;1975-08-01 00:00:00.0000000;1998-12-31 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;2;06/05/26;483067420001-76
328;ENERGISA SUDESTE;PLANO DE BENEFÍCIOS ENERGISA SUDESTE;1981000811;ATIVO;EM EXTINÇÃO;LC 109;Contribuição Variável;;1981-04-30 00:00:00.0000000;1981-10-19 00:00:00.0000000;2020-02-10 00:00:00.0000000;;Sim;Patrocinado;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;17;06/05/26;483066380001-81
271;PSAP/CESP B1;PLANO DE SUPLEMENTAÇÃO DE APOSENTADORIAS E PENSÃO - PSAP/CESP B1;1979002738;ATIVO;EM EXTINÇÃO;LC 108/109;Benefício Definido;;1979-09-27 00:00:00.0000000;1977-11-01 00:00:00.0000000;2020-04-30 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;Sim;2;06/05/26;483065850001-07
270;PSAP/EMAE;PLANO DE SUPLEMENTAÇÃO DE APOSENTADORIAS E PENSÃO PSAP/EMAE;1982002174;ATIVO;EM EXTINÇÃO;LC 108/109;Benefício Definido;;1982-11-11 00:00:00.0000000;1982-11-11 00:00:00.0000000;2018-05-09 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;1;06/05/26;483066610001-76
267;PLANO MISTO;PLANO MISTO DE BENEFÍCIO SUPLEMENTAR;1995003956;ATIVO;EM EXTINÇÃO;LC 109;Contribuição Variável;;1995-12-27 00:00:00.0000000;1996-01-01 00:00:00.0000000;2013-04-25 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;3;06/05/26;483069050001-10
264;PLANO CV SISTEMA FIEMG;PLANO DE BENEFÍCIOS  SISTEMA FIEMG;1998003019;ATIVO;EM EXTINÇÃO;LC 109;Contribuição Variável;;1998-05-25 00:00:00.0000000;1999-07-01 00:00:00.0000000;2020-12-09 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;6;06/05/26;483069870001-01
250;II DA RGE;PLANO II DA RGE;1979004374;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1979-12-21 00:00:00.0000000;1980-01-01 00:00:00.0000000;2011-02-24 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;1;06/05/26;483066000001-09
249;I DA RGE;PLANO I DA RGE;1979004692;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1979-12-21 00:00:00.0000000;1980-01-01 00:00:00.0000000;2011-03-31 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;1;06/05/26;483066030001-42
248;ÚNICO DA CEEE;PLANO ÚNICO DA CEEE;1979004447;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1979-12-21 00:00:00.0000000;1980-01-01 00:00:00.0000000;2002-09-02 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;3;06/05/26;483066010001-53
326;APABA;APABA;2003001247;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;2003-09-16 00:00:00.0000000;2003-09-16 00:00:00.0000000;2003-09-16 00:00:00.0000000;;Sim;Patrocinado;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;6;06/05/26;483071910001-65
392;CNI / IEL - PREVIND I;CNI / IEL - PREVIND I;1987001011;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1987-08-27 00:00:00.0000000;1987-12-14 00:00:00.0000000;2000-10-23 00:00:00.0000000;;Sim;Patrocinado;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;2;06/05/26;483067210001-50
388;SGA-PREV;PLANO DE BENEFÍCIOS SGA-PREV;1998004392;ATIVO;EM EXTINÇÃO;LC 109;Contribuição Variável;;1998-07-30 00:00:00.0000000;1998-09-01 00:00:00.0000000;2010-12-31 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Não;Sim;1;06/05/26;483070010001-00
386;INDUSPREV - FIESP;INDUSPREV - FIESP;2004000392;ATIVO;EM EXTINÇÃO;LC 109;Contribuição Variável;;2004-03-01 00:00:00.0000000;2004-03-01 00:00:00.0000000;2025-12-08 00:00:00.0000000;;Sim;Patrocinado;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;3;06/05/26;483072090001-29
434;NUCLEOS;PLANO BÁSICO DE BENEFÍCIOS - PBB;1979002274;ATIVO;EM EXTINÇÃO;LC 108/109;Benefício Definido;;1979-09-01 00:00:00.0000000;1979-09-01 00:00:00.0000000;2021-10-29 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;4;06/05/26;483065800001-76
428;PB I;PLANO DE BENEFÍCIOS I;1979001219;ATIVO;EM EXTINÇÃO;LC 108/109;Benefício Definido;;1979-04-23 00:00:00.0000000;1977-12-24 00:00:00.0000000;2001-12-13 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;2;06/05/26;483065710001-85
412;INDUSPREV - SENAI/SP;INDUSPREV - SENAI/SP;2004000465;ATIVO;EM EXTINÇÃO;LC 109;Contribuição Variável;;2004-03-01 00:00:00.0000000;2004-03-01 00:00:00.0000000;2024-11-06 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Não;Sim;1;06/05/26;483072100001-53
411;INDUSPREV - SESI/SP;INDUSPREV - SESI/SP;2004000538;ATIVO;EM EXTINÇÃO;LC 109;Contribuição Variável;;2004-03-01 00:00:00.0000000;2004-03-01 00:00:00.0000000;2024-11-29 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Não;Sim;1;06/05/26;483072110001-06
424;IBM BD;PLANO DE BENEFÍCIOS DA IBM BRASIL;1980001383;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1980-07-28 00:00:00.0000000;1980-07-28 00:00:00.0000000;1996-03-01 00:00:00.0000000;;Sim;Patrocinado;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;1;06/05/26;483066200001-80
335;PETROCOQUE;PLANO DE BENEFÍCIOS PETROCOQUE;1995000256;ATIVO;EM EXTINÇÃO;LC 109;Contribuição Variável;;1995-01-10 00:00:00.0000000;1995-01-10 00:00:00.0000000;2010-12-01 00:00:00.0000000;;Sim;Patrocinado;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;1;06/05/26;483068780001-86
332;INTELIG;PLANO DE APOSENTADORIA DA INTELIG TELECOMUNICAÇÕES LTDA.;2000005111;ATIVO;EM EXTINÇÃO;LC 109;Contribuição Definida;;2000-07-19 00:00:00.0000000;2000-08-01 00:00:00.0000000;2011-05-23 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Não;Sim;1;06/05/26;483071120001-16
