Textbox16,Textbox15,Textbox13
Data da Extração: ,Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
02/2026,2991,ACEPREV,1020304030000,COTAS DE CLASSE DE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO - FIDC,"832.025,49",DV,"121.998,93","231.357,32","722.667,10",DV
02/2026,2991,ACEPREV,1020304030100,COTAS DE CLASSE FIDC - PADRONIZADO,"832.025,49",DV,"121.998,93","231.357,32","722.667,10",DV
02/2026,2991,ACEPREV,1020304030101,COTAS DE CLASSES DE FIDC - PADRONIZADO - SUBCLASSE COTA SENIOR,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020304030103,COTAS DE CLASSES DE FIDC - PADRONIZADO - SUBCLASSE SUBORDINADA MEZANINO,"832.025,49",DV,"121.998,93","231.357,32","722.667,10",DV
02/2026,2991,ACEPREV,1020304040000,COTAS DE CLASSES DE FUNDO DE AÇÕES,"61.642.678,86",DV,"736.273,32","0,00","62.378.952,18",DV
02/2026,2991,ACEPREV,1020304060000,COTAS DE CLASSES DE FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES - FIP,"120.154.217,81",DV,"4.521.363,74","1.057.576,18","123.618.005,37",DV
02/2026,2991,ACEPREV,1020304060500,MULTIESTRATÉGIA,"111.704.251,83",DV,"3.034.378,28","1.045.208,45","113.693.421,66",DV
02/2026,2991,ACEPREV,1020304069800,OUTROS FIP,"8.449.965,98",DV,"1.486.985,46","12.367,73","9.924.583,71",DV
02/2026,2991,ACEPREV,1020304070000,COTAS DE CLASSES DE FUNDO MULTIMERCADO - FIM,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020304080000,COTAS DE CLASSES DE FUNDO MULTIMERCADO ESTRUTURADO,"89.191.942,98",DV,"824.593,46","203.768,78","89.812.767,66",DV
02/2026,2991,ACEPREV,1020304100000,COTAS DE CLASSES DE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,"14.050.839,87",DV,"17.238,80","36.604,66","14.031.474,01",DV
02/2026,2991,ACEPREV,1020304110000,COTAS DE CLASSES DE FUNDO DE INVESTIMENTO NO EXTERIOR,"9.766.264,54",DV,"920.103,02","1.688.259,42","8.998.108,14",DV
02/2026,2991,ACEPREV,1020304110300,COTAS DE CLASSES DE FUNDO DE INVESTIMENTO - INVESTIDORES QUALFICADOS - EXTERIOR > 40%,"9.766.264,54",DV,"920.103,02","1.688.259,42","8.998.108,14",DV
02/2026,2991,ACEPREV,1020304110301,COTAS DE CLASSES DE FUNDO DE INVESTIMENTO - INVESTIDORES QUALFICADOS - EXTERIOR > 40% - EXCLUSIVA,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020304110302,COTAS DE CLASSES DE FUNDO DE INVESTIMENTO - INVESTIDORES QUALFICADOS - EXTERIOR > 40% – NÃO EXCLUSIVA,"9.766.264,54",DV,"920.103,02","1.688.259,42","8.998.108,14",DV
02/2026,2991,ACEPREV,1020307000000,INVESTIMENTOS EM IMÓVEIS,"3.486.000,00",DV,"2.000,00","2.000,00","3.486.000,00",DV
02/2026,2991,ACEPREV,1020307040000,ALUGUÉIS E RENDA,"3.486.000,00",DV,"2.000,00","2.000,00","3.486.000,00",DV
02/2026,2991,ACEPREV,1020307040200,LOCADOS A PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020307040300,LOCADOS A TERCEIROS,"3.486.000,00",DV,"2.000,00","2.000,00","3.486.000,00",DV
02/2026,2991,ACEPREV,1020308000000,OPERAÇÕES COM PARTICIPANTES,"11.852.606,03",DV,"1.315.741,68","934.839,60","12.233.508,11",DV
02/2026,2991,ACEPREV,1020308010000,EMPRÉSTIMOS A PARTICIPANTES,"11.852.606,03",DV,"1.315.741,68","934.839,60","12.233.508,11",DV
02/2026,2991,ACEPREV,1020308010100,EMPRÉSTIMOS,"11.852.606,03",DV,"1.315.741,68","934.839,60","12.233.508,11",DV
02/2026,2991,ACEPREV,1030000000000,IMOBILIZADO E INTANGÍVEL,"27.246,00",DV,"0,00","2.013,38","25.232,62",DV
02/2026,2991,ACEPREV,1030100000000,IMOBILIZADO,"27.246,00",DV,"0,00","2.013,38","25.232,62",DV
02/2026,2991,ACEPREV,1030101000000,OPERACIONAL CORPÓREO,"27.246,00",DV,"0,00","2.013,38","25.232,62",DV
02/2026,2991,ACEPREV,1030101010000,BENS MÓVEIS,"27.246,00",DV,"0,00","2.013,38","25.232,62",DV
02/2026,2991,ACEPREV,1030200000000,INTANGÍVEL,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1030201000000,"GASTOS COM IMPLANTAÇÃO, REORGANIZAÇÃO E DESENVOLVIMENTO","0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1030202000000,FOMENTO,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,2000000000000,PASSIVO,"1.878.627.605,29",CR,"51.420.316,65","62.115.684,16","1.889.322.972,80",CR
02/2026,2991,ACEPREV,2010000000000,EXIGÍVEL OPERACIONAL,"2.714.610,26",CR,"38.490.718,32","38.367.313,60","2.591.205,54",CR
02/2026,2991,ACEPREV,2010100000000,GESTÃO PREVIDENCIAL,"891.212,29",CR,"9.045.522,12","9.170.429,42","1.016.119,59",CR
02/2026,2991,ACEPREV,2010101000000,BENEFÍCIOS A PAGAR,"9.710,19",CR,"8.195.446,67","8.210.320,31","24.583,83",CR
02/2026,2991,ACEPREV,2010102000000,RETENÇÕES A RECOLHER,"446.742,21",CR,"446.742,21","552.791,56","552.791,56",CR
02/2026,2991,ACEPREV,2010103000000,RECURSOS ANTECIPADOS,"21.535,05",CR,"0,00","0,00","21.535,05",CR
02/2026,2991,ACEPREV,2010103990000,OUTROS RECURSOS ANTECIPADOS,"21.535,05",CR,"0,00","0,00","21.535,05",CR
02/2026,2991,ACEPREV,2010199000000,OUTRAS EXIGIBILIDADES,"413.224,84",CR,"403.333,24","407.317,55","417.209,15",CR
02/2026,2991,ACEPREV,2010200000000,GESTÃO ADMINISTRATIVA,"1.400.641,28",CR,"2.980.224,55","2.785.546,98","1.205.963,71",CR
02/2026,2991,ACEPREV,2010201000000,CONTAS A PAGAR,"1.196.458,53",CR,"2.732.129,41","2.317.706,43","782.035,55",CR
02/2026,2991,ACEPREV,2010202000000,RETENÇÕES A RECOLHER,"167.608,14",CR,"173.960,82","396.405,67","390.052,99",CR
02/2026,2991,ACEPREV,2010204000000,TRIBUTOS A RECOLHER,"36.065,69",CR,"73.707,80","70.915,81","33.273,70",CR
02/2026,2991,ACEPREV,2010299000000,OUTRAS EXIGIBILIDADES,"508,92",CR,"426,52","519,07","601,47",CR
02/2026,2991,ACEPREV,2010300000000,INVESTIMENTOS,"422.756,69",CR,"26.464.971,65","26.411.337,20","369.122,24",CR
02/2026,2991,ACEPREV,2010301000000,TÍTULOS PÚBLICOS,"0,00",CR,"0,00","0,00","0,00",CR
02/2026,2991,ACEPREV,2010302000000,ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"0,00",CR,"0,00","0,00","0,00",CR
02/2026,2991,ACEPREV,2010304000000,FUNDOS DE INVESTIMENTO,"0,00",CR,"24.856.519,93","24.856.519,93","0,00",CR
02/2026,2991,ACEPREV,2010308000000,OPERAÇÕES COM PARTICIPANTES,"16.036,10",CR,"1.192.060,18","1.194.644,04","18.619,96",CR
02/2026,2991,ACEPREV,2010310000000,TAXA DE ADMINISTRAÇÃO A REPASSAR,"17.522,29",CR,"17.522,29","17.610,11","17.610,11",CR
