DT_COMPETENCIA;NU_MATRICULA_EFPC;SG_EFPC;IN_ESTAT_PLANO_EFPC;ID_PLANO;CNPB;ID_BENEFICIO;NU_BENEFICIO;NM_BENEFICIO;TE_NIVEL;QT_ANTERIOR;QT_ENTRADAS;QT_SAIDAS;QT_ATUAL;DT_EXTRACAO
202205;2991;ACEPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2796;PORTOPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4546;DATUSPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4827;CURITIBAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;81;BANESES;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3085;SUPRE;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;196;CAPOF;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3383;FPP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1381;FAELCE;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4443;ENERPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1184;CAPESESP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1701;PREVCUMMINS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4581;EMBRAER PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2823;MULTIPLA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;919;SAO BERNARDO;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2811;CP PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;535;FUSAN;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1171;CAPAF;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2854;FUMPRESC;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3099;PREVINDUS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;182;CAPEF;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;477;FIOPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4176;SEBRAE PREVIDENCIA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1537;FUNDAMBRAS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;941;SERPROS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;309;DESBAN;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
